Nom_usuel,Service_AI,Sous-servi,Equipe_AIO,Code_posta,Adresse_si,Commune_si,NOM_COMM,insee,Code_AIOT,latitude,longitude,result_lab,result_sco,result_s_1,result_typ,result_id,result_hou,result_nam,result_str,result_pos,result_cit,result_con,result_c_1,result_old,result_o_1,result_dis,result_sta,Distance,Statut_IED,Statut_Sev,nb_points,groupe_id,X,Y
SINC - SLM,DREAL PACA,UD 06,PA'le DACEN,"06340",Pont de Peille Route de BorghA(c)as,DRAP,DRAP,"06054","6412331",43.767454000000001,7.330892000000000,Pont de Peille 06340 Drap,"0.4216496650717703","0.3369371385991058",street,06054_uc5azj,,Pont de Peille,Pont de Peille,"06340",Drap,"06, Alpes-Maritimes, Provence-Alpes-CA'te d'Azur","06054",,,,ok,143.063180852276190,Non,Non Seveso,"2","1334",1048606.802169255679473,6306055.142772897146642
ISDND d'EMBRUN 2,DREAL PACA,UD 04-05,PA'le Territorial 05,"05200",zone de Pralong accolA(c) A  la ressourcerie au-dessus de la dA(c)chetterie,EMBRUN,EMBRUN,"05046","6407651",44.588242999999999,6.508144000000000,Chemin de Pralong 05200 Embrun,"0.2780880519480519",,street,05046_0504,,Chemin de Pralong,Chemin de Pralong,"05200",Embrun,"05, Hautes-Alpes, Provence-Alpes-CA'te d'Azur","05046",,,,ok,752.614440359330729,Oui,Non Seveso,"1","1055",978379.856264782487415,6393869.177747007459402
QUAI DE TRANSFERT D'EMBRUN,DREAL PACA,UD 04-05,PA'le Territorial 05,"05200",MOURREFROID,EMBRUN,EMBRUN,"05046","6406627",44.552126000000001,6.489492000000000,Rue des RA(c)mouleurs 05200 Embrun,"0.34088538461538465","0.33406075983717776",street,05046_3d2wal,,Rue des RA(c)mouleurs,Rue des RA(c)mouleurs,"05200",Embrun,"05, Hautes-Alpes, Provence-Alpes-CA'te d'Azur","05046",,,,ok,4188.990090678559682,Non,Non Seveso,"1","1045",977077.976618994260207,6389795.590886707417667
BIOTECHNA,DREAL PACA,UD 13,PA'le DA(c)chet MatA(c)riau,"13820",quartier de l'Aiguille CD9,ENSUES-LA-REDONNE,ENSUES-LA-REDONNE,"13033","6406571",43.355707000000002,5.194214000000000,"Avenue de la CA'te Bleue 13820 EnsuA""s-la-Redonne","0.4557413105076741","0.45536449631449627",street,13033_1150,,Avenue de la CA'te Bleue,Avenue de la CA'te Bleue,"13820","EnsuA""s-la-Redonne","13, Bouches-du-RhA'ne, Provence-Alpes-CA'te d'Azur","13033",,,,ok,2249.174666077449729,Oui,Non Seveso,"1","424",877956.369590932154097,6253202.344562619924545
CARRIERE CHAUX DE LA TOUR,DREAL PACA,UD 13,PA'le DA(c)chet MatA(c)riau,"13820",1  chemin des Chaux de la Tour,ENSUES-LA-REDONNE,ENSUES-LA-REDONNE,"13033","6401379",43.364868999999999,5.185961000000000,"1 Chemin des Chaux de la Tour 13820 EnsuA""s-la-Redonne","0.6052651082251082",,housenumber,13033_8469_00001,"1",1 Chemin des Chaux de la Tour,Chemin des Chaux de la Tour,"13820","EnsuA""s-la-Redonne","13, Bouches-du-RhA'ne, Provence-Alpes-CA'te d'Azur","13033",,,,ok,13.505901096716395,Non,Non Seveso,"2","420",877259.010962088941596,6254201.833448555320501
CHAUX DE LA TOUR,DREAL PACA,UD 13,PA'le DA(c)chet MatA(c)riau,"13820",1  chemin des Chaux de la Tour,ENSUES-LA-REDONNE,ENSUES-LA-REDONNE,"13033","6401622",43.364868999999999,5.185961000000000,"1 Chemin des Chaux de la Tour 13820 EnsuA""s-la-Redonne","0.6727975757575757",,housenumber,13033_8469_00001,"1",1 Chemin des Chaux de la Tour,Chemin des Chaux de la Tour,"13820","EnsuA""s-la-Redonne","13, Bouches-du-RhA'ne, Provence-Alpes-CA'te d'Azur","13033",,,,ok,150.524885432673301,Oui,Non Seveso,"2","420",877259.010962088941596,6254201.833448555320501
CENTRE DE TRANSFERT D'ENSUES,DREAL PACA,UD 13,PA'le DA(c)chet MatA(c)riau,"13820",Lieudit l'Aiguille Quartier du Pas de la Fosse,ENSUES-LA-REDONNE,ENSUES-LA-REDONNE,"13033","6406567",43.374755000000000,5.185639000000000,"Chemin du Pas de la Fosse 13820 EnsuA""s-la-Redonne","0.38645107438016524",,street,13033_xugk7g,,Chemin du Pas de la Fosse,Chemin du Pas de la Fosse,"13820","EnsuA""s-la-Redonne","13, Bouches-du-RhA'ne, Provence-Alpes-CA'te d'Azur","13033",,,,ok,,,,"1","419",877202.493226506048813,6255299.605107098817825
EntrepA't FM France SAS,DREAL PACA,UD 84,UnitA(c) risques accidentels,"84320",ZAC du Plan,ENTRAIGUES-SUR-LA-SORGUE,ENTRAIGUES-SUR-LA-SORGUE,"84043","6410923",43.990470999999999,4.950004000000000,ZAC du Plan 84320 Entraigues-sur-la-Sorgue,"0.5718084415584416",,street,84043_40795l,,ZAC du Plan,ZAC du Plan,"84320",Entraigues-sur-la-Sorgue,"84, Vaucluse, Provence-Alpes-CA'te d'Azur","84043",,,,ok,2001.640130273691966,Non,Seveso seuil bas,"3","219",856412.645165341789834,6323205.776923251338303
EntrepA't LE MISTRAL,DREAL PACA,UD 84,UnitA(c) risques accidentels,"84320",ZAC du PLAN,ENTRAIGUES-SUR-LA-SORGUE,ENTRAIGUES-SUR-LA-SORGUE,"84043","6402105",43.990470999999999,4.950004000000000,ZAC du Plan 84320 Entraigues-sur-la-Sorgue,"0.5956502713704205",,street,84043_40795l,,ZAC du Plan,ZAC du Plan,"84320",Entraigues-sur-la-Sorgue,"84, Vaucluse, Provence-Alpes-CA'te d'Azur","84043",,,,ok,1615.427092497615604,Non,Non Seveso,"3","219",856412.645165341789834,6323205.776923251338303
SIBELCO Entraigues-sur-la-Sorgue,DREAL PACA,UD 84,"UnitA(c) carriA""res","84320",Route de BA(c)darrides,ENTRAIGUES-SUR-LA-SORGUE,ENTRAIGUES-SUR-LA-SORGUE,"84043","6400551",44.008636000000003,4.933805000000000,Avenue de BA(c)darrides 84320 Entraigues-sur-la-Sorgue,"0.5214741058941059",,street,84043_0065,,Avenue de BA(c)darrides,Avenue de BA(c)darrides,"84320",Entraigues-sur-la-Sorgue,"84, Vaucluse, Provence-Alpes-CA'te d'Azur","84043",,,,ok,145.855057465430434,Non,Non Seveso,"1","200",855064.135860300506465,6325191.571576968766749
SUEZ RV MEDITERRANEE (ex. SITA SUD),DREAL PACA,UD 84,UnitA(c) dA(c)chets,"84320",800  ZAC  du Plan,ENTRAIGUES-SUR-LA-SORGUE,ENTRAIGUES-SUR-LA-SORGUE,"84043","6401421",43.990470999999999,4.950004000000000,ZAC du Plan 84320 Entraigues-sur-la-Sorgue,"0.4830638528138528",,street,84043_40795l,,ZAC du Plan,ZAC du Plan,"84320",Entraigues-sur-la-Sorgue,"84, Vaucluse, Provence-Alpes-CA'te d'Azur","84043",,,,ok,1832.408894439386358,Oui,Non Seveso,"3","219",856412.645165341789834,6323205.776923251338303
BRAS GA(c)rard Entreprise,DREAL PACA,UD 84,UnitA(c) risques accidentels,"84340",Le Plan Sud,ENTRECHAUX,ENTRECHAUX,"84044","6400516",44.221698000000004,5.126575000000000,Le Plan Sud 84340 Entrechaux,"0.46846714285714286","0.41720619414483817",locality,84044_B054,,Le Plan Sud,,"84340",Entrechaux,"84, Vaucluse, Provence-Alpes-CA'te d'Azur","84044",,,,ok,483.508517852097498,Non,Non Seveso,"2","385",869880.575500286649913,6349252.701365671120584
SA LAVAU MOURET,DDPP 84,SSPAE 84,SSPAE,"84340",Quartier le plan,ENTRECHAUX,ENTRECHAUX,"84044","6401094",44.221698000000004,5.126575000000000,Le Plan Sud 84340 Entrechaux,"0.39065702194357366","0.3863895531587057",locality,84044_B054,,Le Plan Sud,,"84340",Entrechaux,"84, Vaucluse, Provence-Alpes-CA'te d'Azur","84044",,,,ok,232.423739513516153,Non,Non Seveso,"2","385",869880.575500286649913,6349252.701365671120584
ISDI irr - Monsieur MERMET Eric,DREAL PACA,UD 04-05,PA'le Territorial 04,"04320",Plan de Puget,ENTREVAUX,ENTREVAUX,"04076","6412839",43.951073000000001,6.857050000000000,Le Plan de Puget 04320 Entrevaux,"0.4280635812672176",,locality,04076_B063,,Le Plan de Puget,,"04320",Entrevaux,"04, Alpes-de-Haute-Provence, Provence-Alpes-CA'te d'Azur","04076",,,,ok,183.766982193619583,Non,Non Seveso,"1","1167",1009501.737678312696517,6324457.234942272305489
POLONIO JM,DREAL PACA,UD 04-05,PA'le Territorial 04,"04320",D4202 Route de Nice,ENTREVAUX,ENTREVAUX,"04076","6413208",43.952421000000001,6.858461000000000,Route de Nice 04320 Entrevaux,"0.5407332798573975",,street,04076_0044,,Route de Nice,Route de Nice,"04320",Entrevaux,"04, Alpes-de-Haute-Provence, Provence-Alpes-CA'te d'Azur","04076",,,,ok,1466.255972852614150,Non,Non Seveso,"1","1168",1009607.554429217590950,6324612.371221774257720
CARRIERE DU MONT CAUME - Evenos,DREAL PACA,UD 83,"PA'le CarriA""res - dA(c)chets","83330",DOMAINE D'ORVES,EVENOS,EVENOS,"83053","6401997",43.174205000000001,5.870153000000000,Avenue Honore daEUR(tm)Estienne daEUR(tm)Orves 83330 A%0venos,"0.43527151515151513",,street,83053_0273,,Avenue Honore daEUR(tm)Estienne daEUR(tm)Orves,Avenue Honore daEUR(tm)Estienne daEUR(tm)Orves,"83330",A%0venos,"83, Var, Provence-Alpes-CA'te d'Azur","83053",,,,ok,3897.328226041850030,Non,Non Seveso,"1","817",933488.696300894371234,6234796.409355215728283
CENTRALE TOULON ENROBES - Evenos,DREAL PACA,UD 83,"PA'le CarriA""res - dA(c)chets","83330",chautard,EVENOS,EVENOS,"83053","6400208",43.167901999999998,5.828511000000000,Route de Toulon 83330 A%0venos,"0.3732833724340176",,street,83053_0334,,Route de Toulon,Route de Toulon,"83330",A%0venos,"83, Var, Provence-Alpes-CA'te d'Azur","83053",,,,ok,6896.367696761100888,Non,Non Seveso,"1","792",930127.649842001846991,6233973.875347077846527
MARCUS RECUP,DREAL PACA,UD 04-05,PA'le Territorial 05,"05600",Montdauphin,EYGLIERS,EYGLIERS,"05052","6409514",44.679381999999997,6.627049000000000,Chemin des Maurels 05600 Eygliers,"0.40309400673400664","0.3875446753246753",street,05052_xj0keh,,Chemin des Maurels,Chemin des Maurels,"05600",Eygliers,"05, Hautes-Alpes, Provence-Alpes-CA'te d'Azur","05052",,,,ok,1909.602106695314887,Non,Non Seveso,"1","1108",987343.881194055313244,6404408.373991293832660
ANCIEN CENTRE DE TRANSFERT D'EYRAGUES,DREAL PACA,UD 13,Equipe Aix en Provence,"13630",Lieu dit La Petite Crau,EYRAGUES,EYRAGUES,"13036","6402355",43.854619000000000,4.826157000000000,Draille des Craux de la Malgue 13630 Eyragues,"0.358279110459433","0.3546993657505285",street,13036_o7rtt7,,Draille des Craux de la Malgue,Draille des Craux de la Malgue,"13630",Eyragues,"13, Bouches-du-RhA'ne, Provence-Alpes-CA'te d'Azur","13036",,,,ok,4382.777914789029637,Non,Non Seveso,"1","101",846829.610253525432199,6307876.774126601405442
CASSAUTO 06,DREAL PACA,UD 06,PA'le DACEN,"06950",route de Levens,FALICON,FALICON,"06060","6407851",43.750996000000001,7.271766000000000,Route de Saint-Sebastien 06950 Falicon,"0.43440952978056424","0.4255917482517482",street,06060_dcn3ad,,Route de Saint-Sebastien,Route de Saint-Sebastien,"06950",Falicon,"06, Alpes-Maritimes, Provence-Alpes-CA'te d'Azur","06060",,,,ok,410.529162484846438,Non,Non Seveso,"1","1315",1043951.140469018253498,6303969.613782913424075
ISDI Dechetterie Plan La Croix,DREAL PACA,UD 04-05,PA'le Territorial 04,"04400",Lieu-dit Plan La Croix,FAUCON-DE-BARCELONNETTE,FAUCON-DE-BARCELONNETTE,"04086","6406225",44.393386999999997,6.677511000000000,Place de la Mairie 04400 Faucon-de-Barcelonnette,"0.41567330143540665","0.3932812672176308",street,04086_0014,,Place de la Mairie,Place de la Mairie,"04400",Faucon-de-Barcelonnette,"04, Alpes-de-Haute-Provence, Provence-Alpes-CA'te d'Azur","04086",,,,ok,2578.582673798052383,Non,Non Seveso,"1","1120",992817.782633437076584,6372858.576351169496775
CARRIERE DE LA  PEJADE - Fayence,DREAL PACA,UD 83,"PA'le CarriA""res - dA(c)chets","83440",Route de Mons,FAYENCE,FAYENCE,"83055","6401989",43.640844999999999,6.693344000000000,Route de Mons 83440 Fayence,"0.43491712609970673","0.4080394405594405",street,83055_0328,,Route de Mons,Route de Mons,"83440",Fayence,"83, Var, Provence-Alpes-CA'te d'Azur","83055",,,,ok,1662.483948185220697,Non,Non Seveso,"1","1127",997987.148231908213347,6289392.477634456008673
PARC DES CEDRES,DDPP 83,PAE 83,PAE,"83340","Parc des CA""dres La RouviA""re",FLASSANS-SUR-ISSOLE,FLASSANS-SUR-ISSOLE,"83057","6411483",43.384512999999998,6.248166000000000,Chemin de la Rouviere 83340 Flassans-sur-Issole,"0.4899045454545454",,street,83057_9aj3n9,,Chemin de la Rouviere,Chemin de la Rouviere,"83340",Flassans-sur-Issole,"83, Var, Provence-Alpes-CA'te d'Azur","83057",,,,ok,913.464047008710168,Non,Non Seveso,"1","994",963262.501245671417564,6259347.182300141081214
recup ADMS,DREAL PACA,UD 83,"PA'le CarriA""res - dA(c)chets","83340",ZAC Pichabert la Bourrette RN7,FLASSANS-SUR-ISSOLE,FLASSANS-SUR-ISSOLE,"83057","6412370",43.369231999999997,6.215647000000000,Vallon de la Bourette 83340 Flassans-sur-Issole,"0.46717727272727266","0.4602036363636363",street,83057_B118,,Vallon de la Bourette,Vallon de la Bourette,"83340",Flassans-sur-Issole,"83, Var, Provence-Alpes-CA'te d'Azur","83057",,,,ok,429.406133572167846,Non,Non Seveso,"1","980",960697.468929054564796,6257542.106210440397263
SECOURS ANIMAUX MALHEUREUX ASSOCIATION,DDPP 83,PAE 83,PAE,"83340","quartier l'aubrA(c)guiA""re",FLASSANS-SUR-ISSOLE,FLASSANS-SUR-ISSOLE,"83057","6402826",43.366014999999997,6.208766000000000,Impasse les Amandiers 83340 Flassans-sur-Issole,"0.3889581818181818","0.37855999999999995",street,83057_0013,,Impasse les Amandiers,Impasse les Amandiers,"83340",Flassans-sur-Issole,"83, Var, Provence-Alpes-CA'te d'Azur","83057",,,,ok,3683.550522939234725,Non,Non Seveso,"1","976",960154.450640210881829,6257162.109561720862985
CARRIERE SIMON ALAIN -Flayosc,DREAL PACA,UD 83,"PA'le CarriA""res - dA(c)chets","83780",LA TUILIERE DES IMBERTS,FLAYOSC,FLAYOSC,"83058","6401998",43.523277999999998,6.339001000000000,Chemin des Imberts 83780 Flayosc,"0.36965090909090903",,street,83058_0309,,Chemin des Imberts,Chemin des Imberts,"83780",Flayosc,"83, Var, Provence-Alpes-CA'te d'Azur","83058",,,,ok,393.636135494548455,Non,Non Seveso,"1","1018",969968.288233621278778,6275064.456010083667934
CARRIERES DE PROVENCE (ex SMECPT),DREAL PACA,UD 84,"UnitA(c) carriA""res","13990",Route de Maussane,FONTVIEILLE,FONTVIEILLE,"13038","6401382",43.735494000000003,4.717085000000000,Route de Maussane 13990 Fontvieille,"0.46643020202020197",,street,13038_b9dle6,,Route de Maussane,Route de Maussane,"13990",Fontvieille,"13, Bouches-du-RhA'ne, Provence-Alpes-CA'te d'Azur","13038",,,,ok,2383.931462172199645,Non,Non Seveso,"1","29",838349.097083664382808,6294445.259624500758946
DECHETTERIE INTERCOMMUNALE  FORCALQUIER,DREAL PACA,UD 04-05,PA'le Territorial 04,"04301",lieu-dit ZAC des Chalus,FORCALQUIER,FORCALQUIER,"04088","6410997",43.957301000000001,5.798051000000000,Avenue des Chalus 04300 Forcalquier,"0.31782569169960473",,street,04088_1177,,Avenue des Chalus,Avenue des Chalus,"04300",Forcalquier,"04, Alpes-de-Haute-Provence, Provence-Alpes-CA'te d'Azur","04088",,,,ok,323.346911436762582,Non,Non Seveso,"2","772",924542.140937610645778,6321567.463836631737649
COMMUNE DE FORCALQUIER,DREAL PACA,SPR,UnitA(c) ICPE,"04300",Fontsienne,FORCALQUIER,FORCALQUIER,"04088","6402843",43.976717000000001,5.776320000000000,Route de Fontienne 04300 Forcalquier,"0.4918202533532041","0.402853085399449",street,04088_0018,,Route de Fontienne,Route de Fontienne,"04300",Forcalquier,"04, Alpes-de-Haute-Provence, Provence-Alpes-CA'te d'Azur","04088",,,,ok,2537.060289691651178,Non,Non Seveso,"1","759",922723.122535142698325,6323661.971222640015185
CoopA(c)rative Agricole de BlA(c),DREAL PACA,UD 04-05,PA'le Territorial 04,"04300",11  Avenue St-Promasse,FORCALQUIER,FORCALQUIER,"04088","6409034",43.960658000000002,5.785566000000000,11 Avenue Saint Promasse 04300 Forcalquier,"0.4913919138755981",,housenumber,04088_1340_00011,"11",11 Avenue Saint Promasse,Avenue Saint Promasse,"04300",Forcalquier,"04, Alpes-de-Haute-Provence, Provence-Alpes-CA'te d'Azur","04088",,,,ok,657.113274201763602,Non,Non Seveso,"1","765",923527.486679454916157,6321904.820530181750655
SITA SUD Forcalquier,DREAL PACA,UD 04-05,PA'le Territorial 04,"04300",ZA les Chalus,FORCALQUIER,FORCALQUIER,"04088","6407536",43.957301000000001,5.798051000000000,Avenue des Chalus 04300 Forcalquier,"0.41466363636363635",,street,04088_1177,,Avenue des Chalus,Avenue des Chalus,"04300",Forcalquier,"04, Alpes-de-Haute-Provence, Provence-Alpes-CA'te d'Azur","04088",,,,ok,,,,"2","772",924542.140937610645778,6321567.463836631737649
ALFI Audience,DREAL PACA,UD 13,PA'le Seveso,"13270",Site d'ArcelorMittal Usine Fos Audience,FOS-SUR-MER,FOS-SUR-MER,"13039","6401033",43.457143000000002,4.938691000000000,Rue Darius Milhaud 13270 Fos-sur-Mer,"0.33175213903743317","0.3267105224660397",street,13039_1585,,Rue Darius Milhaud,Rue Darius Milhaud,"13270",Fos-sur-Mer,"13, Bouches-du-RhA'ne, Provence-Alpes-CA'te d'Azur","13039",,,,ok,3325.944989179851746,Non,Non Seveso,"1","207",856960.437952369917184,6263931.792301960289478
ALFI Oxytonne 5,DREAL PACA,UD 13,PA'le Seveso,"13270",site d'ArcelorMittal,FOS-SUR-MER,FOS-SUR-MER,"13039","6404923",43.429870000000001,4.944437000000000,Avenue du Sable d'Or 13270 Fos-sur-Mer,"0.37647061459667086","0.37472334186939815",street,13039_7664,,Avenue du Sable d'Or,Avenue du Sable d'Or,"13270",Fos-sur-Mer,"13, Bouches-du-RhA'ne, Provence-Alpes-CA'te d'Azur","13039",,,,ok,4537.412641163082299,Non,Non Seveso,"1","214",857500.193898566765711,6260912.683872924186289
ALFI Tonkin,DREAL PACA,UD 13,PA'le Seveso,"13270",ZI quartier le tonkin ZI  Quartier le Tonkin Usine de Fos,FOS-SUR-MER,FOS-SUR-MER,"13039","6401076",43.480884000000003,4.925866000000000,Zone Industrielle le Ventillon 13270 Fos-sur-Mer,"0.3122369328802038","0.28341132231404953",street,13039_98wc35,,Zone Industrielle le Ventillon,Zone Industrielle le Ventillon,"13270",Fos-sur-Mer,"13, Bouches-du-RhA'ne, Provence-Alpes-CA'te d'Azur","13039",,,,ok,6439.573748584236455,Non,Seveso seuil haut,"4","189",855857.952347058570012,6266544.424355390481651
ALFI  Air comprimA(c) (C17/C18),DREAL PACA,UD 13,PA'le Seveso,"13270",ARCELORMITTAL AIR ComprimA(c),FOS-SUR-MER,FOS-SUR-MER,"13039","6402363",43.437173000000001,4.944399000000000,MontA(c)e Bel-air 13270 Fos-sur-Mer,"0.3137881152993348",,street,13039_0512,,MontA(c)e Bel-air,MontA(c)e Bel-air,"13270",Fos-sur-Mer,"13, Bouches-du-RhA'ne, Provence-Alpes-CA'te d'Azur","13039",,,,ok,4177.871925793210721,Non,Non Seveso,"1","213",857477.129620949272066,6261724.115743001922965
ARCELORMITTAL,DREAL PACA,UD 13,PA'le Seveso,"13776",Usine de Fos,FOS-SUR-MER,FOS-SUR-MER,"13039","6401052",43.459882999999998,4.938223000000000,Chemin de Karine 13270 Fos-sur-Mer,"0.36646481371087924","0.36549095531587056",street,13039_4687,,Chemin de Karine,Chemin de Karine,"13270",Fos-sur-Mer,"13, Bouches-du-RhA'ne, Provence-Alpes-CA'te d'Azur","13039",,,,ok,3866.996507366445258,Oui,Seveso seuil haut,"2","206",856915.080420357175171,6264235.325301123782992
ASCOMETAL Fos-sur-Mer SAS,DREAL PACA,UD 13,PA'le Seveso,"13270",- Route du quai minA(c)ralier,FOS-SUR-MER,FOS-SUR-MER,"13039","6401019",43.420116999999998,4.860218000000000,Route du Quai Mineralier 13270 Fos-sur-Mer,"0.5526034869240349",,locality,13039_7444,,Route du Quai Mineralier,,"13270",Fos-sur-Mer,"13, Bouches-du-RhA'ne, Provence-Alpes-CA'te d'Azur","13039",,,,ok,3055.330445556022823,Oui,Non Seveso,"7","130",850705.247841100906953,6259664.550376168452203
COMBIGOLFE,DREAL PACA,UD 13,PA'le Chronique Risque,"13270",Centrale A(c)lectrique Combigolfe Caban sud  ZI Goulevielle,FOS-SUR-MER,FOS-SUR-MER,"13039","6407117",43.480884000000003,4.925866000000000,Zone Industrielle le Ventillon 13270 Fos-sur-Mer,"0.3061453344768439","0.2876965993265993",street,13039_98wc35,,Zone Industrielle le Ventillon,Zone Industrielle le Ventillon,"13270",Fos-sur-Mer,"13, Bouches-du-RhA'ne, Provence-Alpes-CA'te d'Azur","13039",,,,ok,9570.875567172830415,Oui,Non Seveso,"4","189",855857.952347058570012,6266544.424355390481651
CIFC,DREAL PACA,UD 13,PA'le Seveso,"13270",Site d'ArcelorMittal Lieu dit Pont de Clapet,FOS-SUR-MER,FOS-SUR-MER,"13039","6401022",43.430646000000003,4.889307000000000,Pont Clapet 13270 Fos-sur-Mer,"0.3955535353535353",,locality,13039_B164,,Pont Clapet,,"13270",Fos-sur-Mer,"13, Bouches-du-RhA'ne, Provence-Alpes-CA'te d'Azur","13039",,,,ok,1098.484523230824834,Oui,Non Seveso,"1","162",853033.442323701456189,6260890.509599634446204
COGEX,DREAL PACA,UD 13,PA'le Chronique Risque,"13270",RN 568  la plaine ronde sud,FOS-SUR-MER,FOS-SUR-MER,"13039","6401024",43.456487000000003,4.927036000000000,La Plaine Ronde Sud 13270 Fos-sur-Mer,"0.6370595041322313","0.5709438016528925",locality,13039_B098,,La Plaine Ronde Sud,,"13270",Fos-sur-Mer,"13, Bouches-du-RhA'ne, Provence-Alpes-CA'te d'Azur","13039",,,,ok,204.679899593843118,Non,Seveso seuil bas,"1","192",856018.792207797057927,6263835.800573633983731
CUSHMAN&WAKEFILED (exFPGL-A),DREAL PACA,UD 13,PA'le Chronique Risque,"13270",Lieu-dit La Feuillane,FOS-SUR-MER,FOS-SUR-MER,"13039","6412349",43.472655000000003,4.893653000000000,La Feuillane 13270 Fos-sur-Mer,"0.4133370038412292","0.40494754010695183",street,13039_wkd2kn,,La Feuillane,La Feuillane,"13270",Fos-sur-Mer,"13, Bouches-du-RhA'ne, Provence-Alpes-CA'te d'Azur","13039",,,,ok,251.534520951274061,Non,Seveso seuil bas,"2","170",853273.430977161857300,6265566.983279033564031
DEPOTS  PETROLIER DE FOS,DREAL PACA,UD 13,PA'le Seveso,"13270",ZI secteur 81 AUDIENCE 818,FOS-SUR-MER,FOS-SUR-MER,"13039","6401027",43.480296000000003,4.924200000000000,ZI du Ventillon 13270 Fos-sur-Mer,"0.2692909090909091","0.2675640018744142",locality,13039_9276,,ZI du Ventillon,,"13270",Fos-sur-Mer,"13, Bouches-du-RhA'ne, Provence-Alpes-CA'te d'Azur","13039",,,,ok,5258.663614714537289,Non,Seveso seuil haut,"3","188",855724.744201575871557,6266475.800800001248717
DEREF,DREAL PACA,UD 13,PA'le Seveso,"13776",Chez Arcelor Usine de Fos,FOS-SUR-MER,FOS-SUR-MER,"13039","6413569",43.459882999999998,4.938223000000000,Chemin de Karine 13270 Fos-sur-Mer,"0.3611913986013986","0.3603548484848484",street,13039_4687,,Chemin de Karine,Chemin de Karine,"13270",Fos-sur-Mer,"13, Bouches-du-RhA'ne, Provence-Alpes-CA'te d'Azur","13039",,,,ok,4640.387054578821335,Non,Non Seveso,"2","206",856915.080420357175171,6264235.325301123782992
IKEA -  Fos,DREAL PACA,UD 13,PA'le Chronique Risque,"13270",La Feuillanne,FOS-SUR-MER,FOS-SUR-MER,"13039","6404699",43.472655000000003,4.893653000000000,La Feuillane 13270 Fos-sur-Mer,"0.6278767676767677","0.5115841602465331",street,13039_wkd2kn,,La Feuillane,La Feuillane,"13270",Fos-sur-Mer,"13, Bouches-du-RhA'ne, Provence-Alpes-CA'te d'Azur","13039",,,,ok,979.544110327231465,Non,Non Seveso,"2","170",853273.430977161857300,6265566.983279033564031
ECOCEM,DREAL PACA,UD 13,PA'le Seveso,"13270",Chez ARCELORMITTAL A  Fos sur Mer,FOS-SUR-MER,FOS-SUR-MER,"13039","6408798",43.463433000000002,4.930268000000000,Chemin de Mery 13270 Fos-sur-Mer,"0.37068280632411066","0.36630922077922073",street,13039_5600,,Chemin de Mery,Chemin de Mery,"13270",Fos-sur-Mer,"13, Bouches-du-RhA'ne, Provence-Alpes-CA'te d'Azur","13039",,,,ok,3418.461911609902927,Non,Non Seveso,"2","195",856261.541486252448522,6264614.018247571773827
ELENGY Cavaou,DREAL PACA,UD 13,PA'le Seveso,"13270",Route des plages BP10186,FOS-SUR-MER,FOS-SUR-MER,"13039","6402139",43.431894000000000,4.945865000000000,Route des Plages 13270 Fos-sur-Mer,"0.5338214605067064","0.4313431892697466",locality,13039_6715,,Route des Plages,,"13270",Fos-sur-Mer,"13, Bouches-du-RhA'ne, Provence-Alpes-CA'te d'Azur","13039",,,,ok,3773.605086296545323,Non,Seveso seuil haut,"1","217",857610.295598406344652,6261140.439982207491994
ELENGY Tonkin,DREAL PACA,UD 13,PA'le Seveso,"13270",ZI Le Tonkin,FOS-SUR-MER,FOS-SUR-MER,"13039","6401079",43.480884000000003,4.925866000000000,Zone Industrielle le Ventillon 13270 Fos-sur-Mer,"0.4045866798418972","0.3810012326656394",street,13039_98wc35,,Zone Industrielle le Ventillon,Zone Industrielle le Ventillon,"13270",Fos-sur-Mer,"13, Bouches-du-RhA'ne, Provence-Alpes-CA'te d'Azur","13039",,,,ok,6856.862023406656590,Non,Seveso seuil haut,"4","189",855857.952347058570012,6266544.424355390481651
ESSO Raffinage SAS,DREAL PACA,UD 13,PA'le Seveso,"13270",Route du Guigonnet - BP 49,FOS-SUR-MER,FOS-SUR-MER,"13039","6401029",43.449694999999998,4.927996000000000,Route du Guigonnet 13270 Fos-sur-Mer,"0.5361082093663911","0.4518242893725992",street,13039_3301,,Route du Guigonnet,Route du Guigonnet,"13270",Fos-sur-Mer,"13, Bouches-du-RhA'ne, Provence-Alpes-CA'te d'Azur","13039",,,,ok,133.104776002511727,Oui,Seveso seuil haut,"1","193",856114.932664825813845,6263082.979403832927346
EUROPIECES  Fos sur Mer,DREAL PACA,UD 13,PA'le DA(c)chet MatA(c)riau,"13270",Le Pont du Roi et les Arcades RN,FOS-SUR-MER,FOS-SUR-MER,"13039","6401030",43.428113000000003,4.972814000000000,Le Pont du Roi et les Arca 13270 Fos-sur-Mer,"0.5377914269275028","0.3734072727272727",street,13039_B104,,Le Pont du Roi et les Arca,Le Pont du Roi et les Arca,"13270",Fos-sur-Mer,"13, Bouches-du-RhA'ne, Provence-Alpes-CA'te d'Azur","13039",,,,ok,417.864469421507010,Non,Non Seveso,"1","240",859803.146528949611820,6260774.461824861355126
